date,contestant_name,instagram_handle,season,cast_list,followers,following,post_count,is_private,full_name,biography,error
2026-08-25,Abbey Luckett Benjamin,abbeybenj,5,new_blood,30000,4898,1921,,Abbey Luckett Benjamin,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Abby Lee,abbylee_.7,5,new_blood,453,43,2,,"Abby Lee, PhD",,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Arisa Thomas,arisathegroomer,5,new_blood,110000,1983,609,,Arisa Thomas| LA Dog Groomer,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Ben McDonnell,mcdonnellben,5,new_blood,51000,1343,323,,ben mcdonnell,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Clyde,astoldbyclyde,5,new_blood,2548,1533,79,,Clyde,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Jay Vinnedge,wellroundedphysician,5,new_blood,7202,369,601,,"Jay Vinnedge, MD",,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Joe Vanella,thejoevanella,5,new_blood,625,525,22,,Joe Vanella,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Katie Fites,katie.fites, 5, new_blood,5512,3751,90,,Katie 🐝🌷🤪🌼🐓🤎,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Kim Daily,iamkimdaily,5,new_blood,30000,1158,487,,Kim Daily,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Kriste Lewis,kr1ste,5,new_blood,1767,542,512,,Kriste Lewis,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Logan Smith,realtywithsmitty,5,new_blood,1357,1846,101,,Logan Smith,,used_selenium_fallback (counts may be abbreviated/rounded)
2026-08-25,Madeline Kostopulos,madelinekostopulos,5,new_blood,3899,3278,76,,Madeline,,used_selenium_fallback (counts may be abbreviated/rounded)
