contestant_name,instagram_handle,season,cast_list
Abbey Luckett Benjamin,abbeybenj,5,new_blood
Abby Lee,abbylee_.7,5,new_blood
Arisa Thomas,arisathegroomer,5,new_blood
Ben McDonnell,mcdonnellben,5,new_blood
Clyde,astoldbyclyde,5,new_blood
Jay Vinnedge,wellroundedphysician,5,new_blood
Joe Vanella,thejoevanella,5,new_blood
Katie Fites,katie.fites, 5, new_blood
Kim Daily,iamkimdaily,5,new_blood
Kriste Lewis,kr1ste,5,new_blood
Logan Smith,realtywithsmitty,5,new_blood
Madeline Kostopulos,madelinekostopulos,5,new_blood
Mark Zgoda,markzgoda,5,new_blood
Michael Foote,dept_of_redundancy_dept,5,new_blood
Morgan Cook,morganevelyncook,5,new_blood
Niyyah Bilal Hayes,niyyahx,5,new_blood
Shane Beatty,shanebeatty_,5,new_blood
Sherry Kuehl,snarky.in.the.suburbs,5,new_blood
Tomica Adams,ladyofthesky,5,new_blood
Victor Vollbrechthausen,victorvoll,5,new_blood
Wyatt Gillespie,wyatt_gillespie,5,new_blood
Xavier Scruggs,xavierscruggs,5,new_blood
